127.0.0.1, 2015-12-04 13:13:05, GET, /project_bacon/static/images/twitter.png, HTTP/1.1, 200, 0.000713
127.0.0.1, 2015-12-04 13:13:05, GET, /project_bacon/static/images/facebook.png, HTTP/1.1, 200, 0.000615
127.0.0.1, 2015-12-04 13:13:05, GET, /project_bacon/static/images/gplus-32.png, HTTP/1.1, 200, 0.000682
127.0.0.1, 2015-12-04 13:13:26, GET, /project_bacon/default/instructions, HTTP/1.1, 200, 0.072546
127.0.0.1, 2015-12-04 13:13:26, GET, /project_bacon/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000634
127.0.0.1, 2015-12-04 13:13:26, GET, /project_bacon/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.001116
127.0.0.1, 2015-12-04 13:13:26, GET, /project_bacon/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000524
127.0.0.1, 2015-12-04 13:13:26, GET, /project_bacon/static/css/jquery-ui.structure.min.css, HTTP/1.1, 304, 0.000430
127.0.0.1, 2015-12-04 13:13:26, GET, /project_bacon/static/css/jquery-ui.min.css, HTTP/1.1, 304, 0.002906
127.0.0.1, 2015-12-04 13:13:26, GET, /project_bacon/static/css/myapp.css, HTTP/1.1, 304, 0.001611
127.0.0.1, 2015-12-04 13:13:26, GET, /project_bacon/static/css/jquery-ui.theme.min.css, HTTP/1.1, 304, 0.000727
127.0.0.1, 2015-12-04 13:13:26, GET, /project_bacon/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001820
127.0.0.1, 2015-12-04 13:13:26, GET, /project_bacon/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001322
127.0.0.1, 2015-12-04 13:13:26, GET, /project_bacon/static/js/calendar.js, HTTP/1.1, 304, 0.002981
127.0.0.1, 2015-12-04 13:13:26, GET, /project_bacon/static/css/calendar.css, HTTP/1.1, 304, 0.002366
127.0.0.1, 2015-12-04 13:13:26, GET, /project_bacon/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.002626
127.0.0.1, 2015-12-04 13:13:26, GET, /project_bacon/static/js/ractive.min.js, HTTP/1.1, 304, 0.004069
127.0.0.1, 2015-12-04 13:13:26, GET, /project_bacon/static/js/jquery.js, HTTP/1.1, 304, 0.003007
127.0.0.1, 2015-12-04 13:13:26, GET, /project_bacon/static/js/web2py.js, HTTP/1.1, 304, 0.001139
127.0.0.1, 2015-12-04 13:13:26, GET, /project_bacon/static/js/jquery-ui.min.js, HTTP/1.1, 304, 0.002013
127.0.0.1, 2015-12-04 13:13:26, GET, /project_bacon/static/js/share.js, HTTP/1.1, 304, 0.001013
127.0.0.1, 2015-12-04 13:13:26, GET, /project_bacon/static/images/egg.gif, HTTP/1.1, 304, 0.000592
127.0.0.1, 2015-12-04 13:13:26, GET, /project_bacon/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000531
127.0.0.1, 2015-12-04 13:13:26, GET, /project_bacon/static/images/twitter.png, HTTP/1.1, 304, 0.000592
127.0.0.1, 2015-12-04 13:13:26, GET, /project_bacon/static/images/facebook.png, HTTP/1.1, 304, 0.001658
127.0.0.1, 2015-12-04 13:13:26, GET, /project_bacon/static/images/gplus-32.png, HTTP/1.1, 304, 0.000683
127.0.0.1, 2015-12-04 13:13:29, GET, /project_bacon/default/wordlist, HTTP/1.1, 200, 0.941465
127.0.0.1, 2015-12-04 13:13:29, GET, /project_bacon/default/board, HTTP/1.1, 200, 0.044623
127.0.0.1, 2015-12-04 13:13:30, GET, /project_bacon/static/js/form-validate.js, HTTP/1.1, 200, 0.000603
